0,1,2
0167571-O6,3.5184,Ba1Fe12O19
0167571-O24,3.3574,Ba1Fe12O19
0167571-O21,3.1778,Ba1Fe12O19
0167571-O14,3.5017,Ba1Fe12O19
0167571-O17,3.5005,Ba1Fe12O19
0167571-O19,3.3892,Ba1Fe12O19
0167571-O22,3.4613,Ba1Fe12O19
0167571-O3,3.1986,Ba1Fe12O19
0153176-O2,3.0909,Ba1Fe18O27
0153176-O12,3.1982,Ba1Fe18O27
0153176-O9,3.1312,Ba1Fe18O27
0153176-O1,3.0812,Ba1Fe18O27
0153176-O7,3.1175,Ba1Fe18O27
0153176-O4,3.1168,Ba1Fe18O27
0153176-O16,3.3278,Ba1Fe18O27
0153176-O20,3.6341,Ba1Fe18O27
0153176-O25,3.6446,Ba1Fe18O27
0153176-O27,3.2353,Ba1Fe18O27
0153176-O26,3.2711,Ba1Fe18O27
0153176-O5,3.115,Ba1Fe18O27
0153176-O18,3.5013,Ba1Fe18O27
0153176-O10,3.4078,Ba1Fe18O27
0153176-O13,3.1672,Ba1Fe18O27
0153176-O21,3.6541,Ba1Fe18O27
0153176-O23,3.6604,Ba1Fe18O27
0153176-O3,3.0575,Ba1Fe18O27
0153176-O6,3.0917,Ba1Fe18O27
0153176-O14,3.3179,Ba1Fe18O27
0153176-O24,3.6338,Ba1Fe18O27
0153176-O11,3.2116,Ba1Fe18O27
0153176-O17,3.3513,Ba1Fe18O27
0153176-O8,3.123,Ba1Fe18O27
0153176-O19,3.6933,Ba1Fe18O27
0153176-O15,3.4208,Ba1Fe18O27
0153176-O22,3.6541,Ba1Fe18O27
0115470-O3,3.7144,Ba1Fe2O4
0115470-O5,3.0827,Ba1Fe2O4
0115470-O2,3.6714,Ba1Fe2O4
0115470-O4,3.0333,Ba1Fe2O4
0115470-O1,3.805,Ba1Fe2O4
0115344-O7,1.2223,Ba1Fe1O3
0115344-O10,0.8996,Ba1Fe1O3
0115344-O3,0.2815,Ba1Fe1O3
0115344-O8,1.1015,Ba1Fe1O3
0115344-O5,1.0307,Ba1Fe1O3
0115344-O2,0.5346,Ba1Fe1O3
0115344-O4,0.4659,Ba1Fe1O3
0115344-O6,1.2079,Ba1Fe1O3
0115344-O1,0.5393,Ba1Fe1O3
0115344-O9,1.2119,Ba1Fe1O3
0169661-O3,1.9811,Ba2Co1O4
0169661-O2,2.3064,Ba2Co1O4
0169661-O4,1.9508,Ba2Co1O4
0169661-O1,2.0999,Ba2Co1O4
0185107-O3,1.6998,Ba5Co5O14
0185107-O5,1.7332,Ba5Co5O14
0185107-O2,1.6794,Ba5Co5O14
0185107-O4,1.5741,Ba5Co5O14
0185107-O1,1.4104,Ba5Co5O14
0182355-O1,4.5449,Ba1Co1O2
0012201-O1,4.0848,Fe2Mn1O4
0170164-O6,2.4451,Co2Mn3O8
0170164-O3,2.1772,Co2Mn3O8
0170164-O5,3.0644,Co2Mn3O8
0170164-O2,3.2942,Co2Mn3O8
0170164-O4,3.6221,Co2Mn3O8
0170164-O1,2.204,Co2Mn3O8
0136261-O1,2.7537,Co1Mn1O3
0126619-O2,4.034,La1Mn1O3
0126619-O1,3.7311,La1Mn1O3
0289876-O2,3.8986,La1Mn1O3
0289876-O1,3.9265,La1Mn1O3
0163417-O3,2.2759,La1Mn2O5
0163417-O2,3.1434,La1Mn2O5
0163417-O4,2.9048,La1Mn2O5
0163417-O1,3.6029,La1Mn2O5
0193122-O3,2.8799,La1Mn7O12
0193122-O2,3.16,La1Mn7O12
0193122-O4,2.9978,La1Mn7O12
0193122-O1,2.7992,La1Mn7O12
0012299-O1,4.0741,Co1Fe2O4
0174252-O3,4.9114,Fe1La3O6
0174252-O2,4.98,Fe1La3O6
0174252-O4,5.4253,Fe1La3O6
0174252-O1,5.2854,Fe1La3O6
0174238-O2,4.3816,Fe1La1O3
0174238-O1,4.3781,Fe1La1O3
0156399-O3,5.2022,Co2La2O5
0156399-O2,5.4031,Co2La2O5
0156399-O1,5.1039,Co2La2O5
0136334-O9,2.4419,Co3La3O8
0136334-O6,2.8147,Co3La3O8
0136334-O3,4.1053,Co3La3O8
0136334-O5,2.9002,Co3La3O8
0136334-O8,2.6891,Co3La3O8
0136334-O2,4.3804,Co3La3O8
0136334-O4,3.8718,Co3La3O8
0136334-O7,2.5753,Co3La3O8
0136334-O1,4.3676,Co3La3O8
0136334-O10,2.4889,Co3La3O8
0120257-O3,4.9763,Co3La4O9
0120257-O5,5.2496,Co3La4O9
0120257-O2,5.9831,Co3La4O9
0120257-O4,4.974,Co3La4O9
0120257-O1,5.1746,Co3La4O9
0169397-O2,2.4289,Co1La1O3
0169397-O1,2.6204,Co1La1O3
icsd16404-O2,5.9606,Co1La2O4
icsd16404-O1,4.9685,Co1La2O4
0009491-O1,6.2195,Al2Co1O4
0009499-O2,5.5104,Al2Ni1O4
0009499-O1,6.2466,Al2Ni1O4
0009572-O1,6.1385,Al2Mn1O4
0009694-O1,4.2252,Fe2Mg1O4
0009859-O1,4.2135,In2Mn1O4
0009921-O1,4.052,Co1In2O4
0009944-O2,3.4805,In2Ni1O4
0009944-O1,3.6058,In2Ni1O4
0010021-O1,3.7973,Ni1O1
0011233-O1,4.1736,Mg1Mn2O4
0011562-O2,3.6121,Fe2Ni1O4
0011562-O1,3.7044,Fe2Ni1O4
0011580-O2,3.5181,Fe2Ni1O4
0011580-O1,3.7345,Fe2Ni1O4
0011752-O2,2.7852,Mn2Ni1O4
0011752-O1,3.0575,Mn2Ni1O4
0011908-O2,3.5487,Mn2Ni1O4
0011908-O1,3.539,Mn2Ni1O4
0011911-O2,3.772,Fe2Mg1O4
0011911-O1,3.8945,Fe2Mg1O4
0012011-O1,2.704,Mn1Ni1O3
0012072-O1,2.8808,Mn1Ni1O3
0113386-O6,5.9504,Al1Fe1O3
0113386-O3,3.7559,Al1Fe1O3
0113386-O5,3.3084,Al1Fe1O3
0113386-O2,5.5057,Al1Fe1O3
0113386-O4,4.4172,Al1Fe1O3
0113386-O1,4.6654,Al1Fe1O3
0119208-O3,5.7406,Co1Nb2O6
0119208-O2,5.1892,Co1Nb2O6
0119208-O1,6.025,Co1Nb2O6
0136734-O1,5.3321,Co1O3Ti1
0141559-O3,5.4665,Fe1O3Ti1
0141559-O2,5.414,Fe1O3Ti1
0141559-O1,5.4129,Fe1O3Ti1
0143825-O2,3.3802,Fe2O5Ti1
0143825-O3,3.684,Fe2O5Ti1
0143825-O1,3.4937,Fe2O5Ti1
0144940-O3,2.5169,Mn2O5Y1
0144940-O2,4.1797,Mn2O5Y1
0144940-O4,4.0788,Mn2O5Y1
0144940-O1,3.4069,Mn2O5Y1
0145761-O2,5.4674,Mn2O4Ti1
0145761-O1,5.341,Mn2O4Ti1
0147238-O2,5.6565,Mn4Nb2O9
0147238-O1,5.1592,Mn4Nb2O9
0149539-O1,5.0491,Ni1O3Ti1
0149894-O3,4.4697,Nb2Ni4O9
0149894-O5,4.711,Nb2Ni4O9
0149894-O2,4.9911,Nb2Ni4O9
0149894-O4,4.9735,Nb2Ni4O9
0149894-O1,4.8417,Nb2Ni4O9
0154647-O2,4.1209,Ba3Ni1O4
0154647-O1,3.965,Ba3Ni1O4
0155205-O2,2.5041,Co1O3Y1
0155205-O1,2.4751,Co1O3Y1
0159784-O3,5.2491,Fe1O5Ti2
0159784-O2,5.287,Fe1O5Ti2
0159784-O1,5.4368,Fe1O5Ti2
0162642-O1,3.958,Fe5O12Y3
0170357-O2,5.3286,Co4Nb2O9
0170357-O1,4.9564,Co4Nb2O9
0176178-O3,5.7039,Fe1Nb2O6
0176178-O2,5.0063,Fe1Nb2O6
0176178-O1,5.2949,Fe1Nb2O6
0177189-O2,4.3038,Mn1O3Y1
0177189-O1,4.347,Mn1O3Y1
0179580-O2,5.5944,Mn2O7Y2
0179580-O1,2.1894,Mn2O7Y2
0188731-O3,3.9641,Fe1Nb1O4
0188731-O2,4.2238,Fe1Nb1O4
0188731-O4,3.7609,Fe1Nb1O4
0188731-O1,3.3297,Fe1Nb1O4
0188787-O2,4.5451,Fe1O3Y1
0188787-O1,4.5761,Fe1O3Y1
0193359-O2,5.6407,La2Ni1O4
0193359-O1,4.519,La2Ni1O4
0194560-O3,5.6619,Nb2Ni1O6
0194560-O2,5.0346,Nb2Ni1O6
0194560-O1,5.2609,Nb2Ni1O6
0194582-O3,5.8447,Mn1Nb2O6
0194582-O2,5.4229,Mn1Nb2O6
0194582-O1,5.4219,Mn1Nb2O6
0194723-O1,5.6107,Mn1O3Ti1
0289591-O1,6.1911,Al2Fe1O4
